NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
100009143,10000954,1/3/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,9/10/2010 7:10,1700 B/O MISSISSIPPI AVE SE,38.84338223,-76.97831575,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009144,10004366,1/10/2010 0:00,EVN,HOMICIDE,GUN,9/10/2010 7:10,2600 B/O NAYLOR RD SE,38.86252601,-76.96975323,WASHINGTON,DC,8,8B,8B01,SIXTH,606,35,NONE,NONE,NONE,NONE
100009145,10005224,1/12/2010 0:00,EVN,HOMICIDE,GUN,9/10/2010 7:10,4700 B/O ALABAMA AVE SE,38.88098148,-76.93926874,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009146,10005583,1/13/2010 0:00,DAY,HOMICIDE,GUN,9/10/2010 7:10,1200 B/O EATON RD SE,38.85946075,-76.99814156,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
100009147,10005697,1/13/2010 0:00,EVN,HOMICIDE,GUN,9/10/2010 7:10,5400 B/O BLAINE ST NE,38.89141524,-76.92336835,WASHINGTON,DC,7,7C,7C02,SIXTH,602,31,NONE,NONE,NONE,NONE
100009148,10008928,1/20/2010 0:00,DAY,HOMICIDE,GUN,9/14/2010 7:02,1300 B/O EASTERN AVE NE,38.90792931,-76.92866137,WASHINGTON,DC,7,7C,7C07,SIXTH,602,31,NONE,NONE,NONE,NONE
100009149,4172632,1/21/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,9/14/2010 7:02,14TH ST NE & HAMLIN ST NE,38.92783542,-76.98596944,WASHINGTON,DC,5,5B,5B04,FIFTH,502,22,NONE,NONE,NONE,NONE
100009150,10012529,1/27/2010 0:00,EVN,HOMICIDE,GUN,9/14/2010 7:02,800 B/O BARNABY ST SE,38.83077767,-76.99291243,WASHINGTON,DC,8,8E,8.00E+07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009151,10014232,2/1/2010 0:00,MID,HOMICIDE,GUN,9/14/2010 7:02,1300 B/O STEVENS RD SE,38.8585428,-76.99855981,WASHINGTON,DC,8,8C,8C01,SEVENTH,703,37,NONE,NONE,NONE,NONE
100009153,10019540,2/15/2010 0:00,MID,HOMICIDE,GUN,9/14/2010 7:02,900 B/O 48TH ST NE,38.9021918,-76.93375804,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
100009154,10015162,2/12/2010 0:00,DAY,HOMICIDE,BLUNT FORCE TRAUMA,9/14/2010 7:02,700 B/O 21ST ST NE,38.89946056,-76.974139,WASHINGTON,DC,5,5B,5B12,FIFTH,504,23,NONE,NONE,NONE,NONE
100009155,10022431,2/21/2010 0:00,EVN,HOMICIDE,GUN,9/16/2010 7:10,600 B/O JEFFERSON ST NW,38.95529767,-77.02149369,WASHINGTON,DC,4,4D,4D04,FOURTH,403,18,NONE,NONE,NONE,NONE
100009156,10025357,2/27/2010 0:00,EVN,HOMICIDE,GUN,9/16/2010 7:10,300 B/O PARKLAND PL SE,38.84467773,-76.99987257,WASHINGTON,DC,8,8C,8C03,SEVENTH,705,39,NONE,NONE,NONE,NONE
100009157,10029812,3/9/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,9/16/2010 7:10,3500 B/O 14TH ST NW,38.935212,-77.03272625,WASHINGTON,DC,1,1A,1A04,THIRD,302,2,NONE,NONE,NONE,NONE
100009158,10030796,3/10/2010 0:00,EVN,HOMICIDE,GUN,9/16/2010 7:10,UNIT B/O HAWAII AVE NE,38.94590562,-77.00688446,WASHINGTON,DC,5,5C,5C12,FOURTH,405,19,NONE,NONE,NONE,NONE
100009159,10033359,3/16/2010 0:00,MID,HOMICIDE,GUN,9/17/2010 7:10,2700 B/O LANGSTON PL SE,38.85612817,-76.97258661,WASHINGTON,DC,8,8B,8B03,SEVENTH,702,36,NONE,NONE,NONE,NONE
100009160,10036596,3/22/2010 0:00,MID,HOMICIDE,GUN,9/17/2010 7:10,1300 B/O ALABAMA AVE SE,38.84502131,-76.98689332,WASHINGTON,DC,8,8E,8.00E+02,SEVENTH,705,38,NONE,NONE,NONE,NONE
100009161,10039457,3/27/2010 0:00,MID,HOMICIDE,GUN,4/1/2010 7:15,1200 B/O W ST NE,38.91916436,-76.98801683,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
100009162,10039499,3/27/2010 0:00,MID,HOMICIDE,GUN,9/17/2010 7:10,1200 B/O SOUTHERN AVE SE,38.83363217,-76.98537496,WASHINGTON,DC,8,8E,8.00E+04,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009163,10041270,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,4000 B/O SOUTH CAPITOL ST,38.83048485,-77.00767376,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009164,10041270,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,4000 B/O SOUTH CAPITOL ST,38.83048485,-77.00767376,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009165,10041270,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,4000 B/O SOUTH CAPITOL ST,38.83048485,-77.00767376,WASHINGTON,DC,8,8D,8D07,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009166,10041269,3/30/2010 0:00,EVN,HOMICIDE,GUN,4/1/2010 7:15,UNIT B/O GALVESTON ST SW,38.82370688,-77.00762236,WASHINGTON,DC,8,8D,8D05,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009167,,4/3/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,4/5/2010 7:24,UNIT B/O FORRESTER ST SW,38.82518875,-77.00800946,WASHINGTON,DC,8,8D,8D04,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009168,9160222,4/6/2010 0:00,EVN,HOMICIDE,GUN,4/8/2010 7:13,2400 B/O 11TH ST NW,38.92240274,-77.02703634,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
100009169,10046971,4/10/2010 0:00,MID,HOMICIDE,GUN,4/13/2010 7:02,600 B/O 46TH PL SE,38.88108575,-76.93553486,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009170,10047513,4/11/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,4/13/2010 7:02,3000 B/O 30TH ST SE,38.85298766,-76.96565363,WASHINGTON,DC,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,NONE
100009171,10049313,4/14/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,4/15/2010 7:02,3000 B/O STANTON RD SE,38.85391414,-76.98446427,WASHINGTON,DC,8,8B,8B04,SEVENTH,704,38,NONE,NONE,NONE,NONE
100009173,10058766,5/1/2010 0:00,MID,HOMICIDE,GUN,5/24/2010 7:03,500 B/O EDGEWOOD ST NE,38.92371559,-76.9989996,WASHINGTON,DC,5,5C,5C08,FIFTH,501,21,NONE,NONE,NONE,NONE
100009175,10062966,5/9/2010 0:00,DAY,HOMICIDE,GUN,5/24/2010 7:03,200 B/O NEWCOMB ST SE,38.84851095,-77.00377391,WASHINGTON,DC,8,8C,8C02,SEVENTH,705,39,NONE,NONE,NONE,NONE
100009176,,5/12/2010 0:00,EVN,HOMICIDE,GUN,5/24/2010 7:03,4700 B/O JAY ST NE,38.90148406,-76.93422848,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
100009177,,4/29/2010 0:00,DAY,HOMICIDE,BLUNT FORCE TRAUMA,5/24/2010 7:03,600 B/O PARKSIDE PL NE,38.89925571,-76.95062757,WASHINGTON,DC,7,7D,7D07,SIXTH,601,30,NONE,NONE,NONE,NONE
100009178,,5/13/2010 0:00,EVN,HOMICIDE,GUN,5/24/2010 7:03,UNIT B/O L PL NW,38.90452819,-77.01072334,WASHINGTON,DC,6,6C,6C03,FIRST,101,8,SURSUM CORDA,SURSUM CORDA,SURSUM CORDA,NONE
100009179,10066650,5/16/2010 0:00,MID,HOMICIDE,GUN,5/24/2010 7:03,5000 B/O D ST SE,38.88380876,-76.92982148,WASHINGTON,DC,7,7E,7.00E+05,SIXTH,604,33,NONE,NONE,NONE,NONE
100009180,10069111,5/20/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,5/24/2010 7:03,4200 B/O 4TH ST SE,38.82730692,-77.00053436,WASHINGTON,DC,8,8D,8D02,SEVENTH,706,39,NONE,NONE,NONE,NONE
100009181,,5/28/2010 0:00,MID,HOMICIDE,KNIFE/CUTTING INSTR,5/31/2010 7:02,1900 B/O 9TH ST NW,38.91628056,-77.02396646,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
100009182,,5/27/2010 0:00,DAY,HOMICIDE,KNIFE/CUTTING INSTR,6/1/2010 7:26,1600 B/O V ST SE,38.86425379,-76.98124222,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
100009183,10073452,5/28/2010 0:00,EVN,HOMICIDE,GUN,6/1/2010 7:26,4600 B/O HILLSIDE RD SE,38.87648124,-76.93262119,WASHINGTON,DC,7,7E,7.00E+01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009184,10074829,5/31/2010 0:00,MID,HOMICIDE,GUN,6/10/2010 7:01,800 B/O CRITTENDEN ST NW,38.94725284,-77.02446426,WASHINGTON,DC,4,4D,4D06,FOURTH,404,18,NONE,NONE,NONE,NONE
100009186,,5/30/2010 0:00,MID,HOMICIDE,GUN,6/10/2010 7:01,100 B/O 53RD ST SE,38.88668302,-76.92567662,WASHINGTON,DC,7,7E,7.00E+06,SIXTH,604,33,NONE,NONE,NONE,NONE
100009187,10074775,6/3/2010 0:00,EVN,HOMICIDE,GUN,6/10/2010 7:01,600 B/O 46TH PL SE,38.88108575,-76.93553486,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
100009188,10077641,6/5/2010 0:00,MID,HOMICIDE,GUN,6/10/2010 7:01,1600 B/O W ST SE,38.8630282,-76.9802682,WASHINGTON,DC,8,8A,8A04,SEVENTH,701,28,NONE,NONE,NONE,NONE
100009189,10079054,6/7/2010 0:00,EVN,HOMICIDE,KNIFE/CUTTING INSTR,6/10/2010 7:01,1200 B/O SIMMS PL NE,38.90903823,-76.98398927,WASHINGTON,DC,5,5B,5B05,FIFTH,504,23,NONE,NONE,NONE,NONE
100009190,10079523,6/8/2010 0:00,EVN,HOMICIDE,GUN,6/10/2010 7:01,3400 B/O MINNESOTA AVE SE,38.88491405,-76.95660553,WASHINGTON,DC,7,7A,7A03,SIXTH,603,32,NONE,NONE,NONE,NONE
100009191,,6/8/2010 0:00,DAY,HOMICIDE,BLUNT FORCE TRAUMA,7/22/2010 7:15,1300 B/O CLIFTON ST NW,38.92242952,-77.03085735,WASHINGTON,DC,1,1B,1B03,THIRD,304,2,NONE,NONE,NONE,NONE
