type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename
WAYPOINT,001,40.3543246619492,-94.8853401971549,4468790.13423848,339898.71219875,09-SEP-10 17:52,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,002,40.3543622118591,-94.8869548875968,4468797.22655823,339761.67454131,09-SEP-10 17:57,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,003,40.3534663517027,-94.8870943575433,4468698.03262612,339747.70854878,09-SEP-10 18:00,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,004,40.3523666416377,-94.8851417069014,4468572.42135971,339910.93667924,09-SEP-10 18:05,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,005,40.3512562115315,-94.8838488864373,4468446.81701596,340018.10670394,09-SEP-10 18:10,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,006,40.3513688616045,-94.8829369362014,4468457.67293990,340095.82318186,09-SEP-10 18:12,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,007,40.3535897319649,-94.883044226457,4468704.39857644,340091.95929852,09-SEP-10 18:16,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,008,40.3540457119743,-94.8841492968033,4468757.01390682,339999.18906622,09-SEP-10 18:18,2,18,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,T001,40.3543192919471,-94.8853616571602,4468789.57697674,339896.87701552,09-SEP-10 18:22,1,8196,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,T002,40.3534717117033,-94.8870997275452,4468698.63735218,339747.26519250,09-SEP-10 18:22,1,8196,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,T003,40.3512508515312,-94.8838381564339,4468446.20261291,340019.00531287,09-SEP-10 18:22,1,8196,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
WAYPOINT,T004,40.3540349819735,-94.8841331967979,4468755.79367933,340000.53098329,09-SEP-10 18:22,1,8196,0,0,0,0,0,0,0, ,0, ,0, , , , , , , ,0,0,0, , 
